article,"How many microphones are used in the array? (Ex: 16, or 8, 16 in case of two evaluated arrays)",Mics,What SSL algorithms are evaluated?,"Is a neural network used for localization, filtering or neither?",What is the sampling rate?,samp,What ego-noise mitigation strategies are used?,Other noise mitigation strategy:,What are the signal sources?,sound,Does the work address single or multiple SSL?,What is the distance to the sound source in the reported experiments? (in meters),What is(are) the reported SNR in the experiments?,Where are the microphones places in relation to the UAV?,What are the evaluated array configurations?,configuration,Shortest mic distance,Longest mic distance,Angle Detection,Error in angle,What is the hovering height of the drone in the experiments?,Drone model(s),"Drone category (micro: 250 g or less · very small: more than 250 g, but not more than 2 kg · small: more than 2 kg, but not more than 25 kg)","Drone type (multirotor, airplane, VTOL, helicopter)",Where is the initial signal filtering performed?,Where is the DOA algorithm executed? ,Strong aspects of the paper (bullet points),Limitations (including future work) of the paper (bullet points),Dataset availability,"Additional comments, if needed",Bibtex citation ,cite string,Reader
Beamforming-Based Acoustic Source Localization and Enhancement forMultirotor UAVs,4 microphones(page3),4,"Diagonal unloading (DU) Beamforming
MUSIC",no,16kHz(Page3),16,Spectral filtering,A minimum variance distortionless response (MVDR) beamformer coupled with a Wiener postfiltering scheme for ego-noise mitigation(page 1),"A person shouting, Whistle","Human speech, Whistle",Single,1 meters(Page3),"-3db,-13dB, and -23dB",Above,2D Linear,2D Linear,,,,,"The drone does not hover, but is palced on a fixed stand at an unstated height.",Parrot bebop 1 quadcopter,very small,multirotor,On a remote server,Simulation,"They use small and low cost devices, and tackle the problem of auditory processing with a differenct apporach. Their usage of controlled angles gives them more reliable data.",The drone is not hovering while taking the readings.,Not mentioned,Good for analysing different angle of arrivals,"@article{Salvati2023,
  author = {Daniele Salvati and Carlo Drioli and Giovanni Ferrin and Gian Luca Foresti},
  title = {Beamforming-Based Acoustic Source Localization and Enhancement for Multirotor UAVs},
  journal = {Department of Mathematics, Computer Science and Physics, University of Udine, Italy},
  year = {2023},
  note = {Email: \{daniele.salvati, carlo.drioli, giovanni.ferrin, gianluca.foresti\}@uniud.it}
}",\cite{Salvati2023},Abishek Soti
Sound Source Tracking Using Integrated Direction Likelihood for Droneswith Microphone Arrays,16 (on each of two drones),16,PAFIM( Particle Filtering with Integrated Music)(Page2),no,16kHz(page4),16,Other,Pre recorded drone noise is used with managed SNR.(page4),A person shouting,Human speech,Multiple,10m-60m. Drone 1 to speaker 1: 41.23m Drone 1 to speaker2: 11.14m-30m. Drone 2 to speaker 1: 30m. Drone 2 to speaker 2: 20.16m-40.16m,-30dB,Simulation,3D Sphere,3D Sphere,,,,,The Experiment was conducted on a simulation,The Experiment was conducted on a simulation,The Experiment was conducted on a simulation,The Experiment was conducted on a simulation,Simulation,Simulation,Multiple sound sources are analysed along with a moving sound source and one stationary sound source. We can also conduct simulations using an online dataset to assess simple set-ups as well.,The experiment is conducted fully in simulation.,Not mentioned,Important paper: uses  PAFIM must look further on the scenarios where this will be helpful.,"@inproceedings{yamada2021sound,
  title={Sound Source Tracking Using Integrated Direction Likelihood for Drones with Microphone Arrays},
  author={Yamada, Taiki and Itoyama, Katsutoshi and Nishida, Kenji and Nakadai, Kazuhiro},
  booktitle={2021 IEEE/SICE International Symposium on System Integration (SII)},
  pages={394--399},
  year={2021},
  organization={IEEE}
}",\cite{yamada2021sound},Abishek Soti
Assessment of MUSIC-Based Noise-Robust Sound Source Localization withActive Frequency Range Filtering,12 microphones(page5),12,"SEVD-MUSIC, iGSVD-MUSIC(Page3), AFRF-MUSIC(page4)",no,16kHz(page5),16,"Distancing of the microphones from the drone rotors, Spectral filtering",SEVD-MUSIC enhanes noise robustness.(Page3),"A person shouting, Whistle","Human speech, Whistle",Single,10 meters(page5),-20dBto 20dB.,On one side,3D Sphere,3D Sphere,,,,,n/a,MS-06LA,small (inferred),multirotor,Simulation,Simulation,They have used AFRF-MUSIC filtering techniques which is very beneficial to use at it utilises the strong aspects of the other two MUSIC algorithms.,"DOA, signal filtering performed on a simulation, poor low snr performance, singular array configuration.",Not mentioned,Important: This has the microphones on one side and the counter weights on the other two.,"@article{hoshiba2018assessment,
  title={Assessment of MUSIC-Based Noise-Robust Sound Source Localization with Active Frequency Range Filtering},
  author={Hoshiba, Kotaro and others},
  journal={Journal of Robotics and Mechatronics},
  volume={30},
  number={3},
  pages={426--433},
  year={2018},
  publisher={Fuji Technology Press}
}",\cite{hoshiba2018assessment},Abishek Soti
Convolutional Neural Network- based Direction-of-Arrival Estimationusing Stereo Microphones for Drone,2 directional cardiod.,2,"CNN (proposed). Power levelbased features: power level ratio (PLR), power level difference (PLD), and power level summation (PLS). Estimates de azimuth angle DOA.",Localization,Not specified,,Other,Parametric multi-channel Wiener filter (PMWF),A person shouting,Human speech,Single,5 to 20m,Not specified,Below,2D Linear,2D Linear,,,,,Not specified,DJI MAVIC PRO,very small,multirotor,On a remote server,Offline,"- To cope with extremely low SNR, noise suppression is performed using PMWF, which can effectively reduce the spatially coherent as well as incoherent noise.","- Supervised CNN Model predicts DOA for ten directions in 20° increments from 0° to 180°at the last layer.
- They recorded seperately noises (ego-noise) and speeches (in specific angles and distances: 5m,10m,20m.). After that, they mix the noise and the speech to create the dataset.
- Some utterances were recorded by 20-30s male and female in the semi-anechoic room including rescue request statements such as “Help me”",Not mentioned,Training dataset was recorded separately and artificially mixed,"@inproceedings{choi2020convolutional,
  title={Convolutional neural network-based direction-of-arrival estimation using stereo microphones for drone},
  author={Choi, Jeonghwan and Chang, Joon-Hyuk},
  booktitle={2020 International Conference on Electronics, Information, and Communication (ICEIC)},
  pages={1--5},
  year={2020},
  organization={IEEE}
}",\cite{choi2020convolutional},Jahir Rodríguez
An Embedded Multichannel Sound Acquisition System for Drone Audition,8(Page 1),8,Time Frequency Spatial filtering(page2),no,8kHz(Page5),8,"Distancing of the microphones from the drone rotors, Spectral filtering","Alteration of placements of Array, location of the target sound, input SNR, etc(Page 2).",A person shouting,Human speech,Single,up to 2 meters(page 5),-40 to 0,"Above, On one side",2D Radial,2D Radial,,,,,1.7m(page 5),Matrice 100(Page 4),small,multirotor,Locally,Simulation,"Important: This paper analyses different setups for microhpone arrays, different placements of the microphones in relation to the drones and also different DOAs. Experimental validation for using WIFI to record and send data to a remote server.",Performance declines at both low and high SNR without providing much reasoning.,Not mentioned,,"@article{Clayton2023,
  author = {Michael Clayton and Lin Wang and others},
  title = {An Embedded Multichannel Sound Acquisition System for Drone Audition},
  journal = {IEEE Sensors Journal},
  volume = {23},
  number = {12},
  pages = {13378-13388},
  year = {2023},
  doi = {10.1109/JSEN.2023.3273330}
}",\cite{Clayton2023},Abishek Soti
TIME-FREQUENCY PROCESSING FOR SOUND SOURCE LOCALIZATION FROM A MICROAERIAL VEHICLE,8(Page2),8,"MUSIC, SRP-PHAT, GEVD-MUSIC,SP(Spatial processing), HiSP(High Spacial PRocessing)(Page1,4), histogram based method to localise sound by constructing a histogram based on localisation results(Page 4)",no,8kHz(page3),8,Spectral filtering,n/a,A person shouting,Human speech,Single,"10 meters in simulated scenario and 3 meters in the real-recorded scenario(Page4,5)",SNR ranges from -25 to 5dB.(Page4-5),Above,2D Radial,2D Radial,,,,,"It is only mentioned that it hovers, but the height isnt mentioned ( Page 2)",3DR IRIS Quadcopter,very small,multirotor,Simulation,Simulation,"Important: High performance in low SNR scenarios, Combines spatial filtering with Non-gaussianity Measures for effective SSL.","Talks about single sound source localisation and has not tried for multiple ssl,",Not mentioned,Possible research on the general application of this papers methodologies to a multiple ssl research project.,"@inproceedings{wang2017time,
  title={Time-frequency processing for sound source localization from a micro aerial vehicle},
  author={Wang, Lin and Cavallaro, Andrea},
  booktitle={ICASSP 2017-2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)},
  pages={496-500},
  year={2017},
  organization={IEEE}
}",\cite{wang2017time},Abishek Soti
Design and Implementation of Real-Time Visualization of Sound Source Positions by Drone Audition,16 microphones(Page 2),16,"MUSIC, GEVD MUSIC",no,not specified,,Distancing of the microphones from the drone rotors,Masking out stationary ego-noise in a fixed direction,"A person shouting, Whistle","Human speech, Whistle",Multiple,not mentioned,not reported.,"Around, On one side",,,,,,,n/a,n/a,small (inferred),multirotor,Locally,Real-time on a remote server,Important: Initial filtering is performed on the edge computing system (RASP-MX) onboard the drone. There is an emphasis on user interfacfe design which is lacking in all other papers.,There is a sheer lack of experimental details and it only uses one specific configuration,Not mentioned,n/a,"@inproceedings{Wakabayashi2020DroneAudition,
  title={Design and Implementation of Real-Time Visualization of Sound Source Positions by Drone Audition},
  author={Mizuho Wakabayashi and Kai Washizaka and Kotaro Hoshiba and Kazuhiro Nakadai and Hiroshi G. Okuno and Makoto Kumon},
  booktitle={Proceedings of the 2020 IEEE/SICE International Symposium on System Integration},
  year={2020},
  pages={1-7},
  doi={10.1109/SII.2020.8700401}
}",\cite{Wakabayashi2020DroneAudition},Abishek Soti
A Blind Source Separation Framework for Ego-Noise Reduction on Multi-Rotor Drones,8 microphones( page 7),8,"Blind Source Separation (BSS)
Time-Frequency Spatial Filtering (TFS)
A combination of TFS and BSS (TFBSS)
Post-filtering (Post)
Fixed Delay-and-Sum Beamformer (FBF)
Adaptive Beamformer (ABF) (page 6)",no,the signals are sampled at 44.1kHz which is then downsampled to 8kHz for processing(page 7),8,Spectral filtering,"Blind source seperation, Time frequency spatial filter(TFS)(6)",A person shouting,Human speech,Single,"Theres three setups where the speaker is 3,4 meters away and in the outdoor settings it is 6 meters away.(page 7)",-25db to -5db range and -12.8db for one specific signal(page13),Above,2D Radial,2D Radial,,,,,1.8 meters(page7),3DR IRIS quadcopter,very small,multirotor,Simulation,Simulation,The specific mounting position of the array helps in dealing with sound sources in 3D.Combines TFS and BSS for effective ego-noise reduction. Demonstrates robustness to DOA estimation errors. Allows continuous processing of long signals in a blockwise manner. (Page 13),"The proposed method assumes a static acoustic environment, which may not hold in dynamic scenarios.",Self collected dataset which has not been mentioned and DREGON.,,"@article{Wang2020,
  author = {L. Wang and A. Cavallaro},
  title = {A Blind Source Separation Framework for Ego-Noise Reduction on Multi-Rotor Drones},
  journal = {IEEE/ACM Transactions on Audio, Speech, and Language Processing},
  volume = {28},
  pages = {1--12},
  year = {2020},
  doi = {10.1109/TASLP.2020.3015027}",\cite{Wang2020},Abishek Soti
Acoustic DOA estimation using space alternating sparse Bayesian learning,21 array elements(Page9),21,"Conventional Beamforming (CBF)
SAVE-MSBL
Proposed OGSA-MSBL
Variational Bayesian Learning (VBL)
Off-Grid Sparse Bayesian Inference (OGSBI)
Efficient Sparse Bayesian Learning (ESBL)
Compressive Bayesian Compressive Sensing (C-BCS) (Page9)",no,Data taken from simulation and LOCATA dataset,,Other,n/a,Other,Other,Multiple,n/a,10 dB,,2D Linear,2D Linear,,,,,n/a,n/a,Simulation,Simulation,Simulation,Simulation,"The OGSA-MSBL approach demonstrates superior DOA and source amplitude estimation accuracy compared to traditional methods(page1), lower computational load(page8), works uniformly over a range of SNR(page7)",Limited information of experimental conditions( experiment was conducted in simulation). Missing research in low SNR conditions(page7),"LOCATA dataset (third party, no drones)",n/a,"@article{Guo2023,
  author = {Qijia Guo and Zhinan Xin and Tian Zhou},
  title = {Off-Grid Space Alternating Sparse Bayesian Learning},
  journal = {IEEE Transactions on Instrumentation and Measurement},
  year = {2023},
  volume = {72},
  pages = {1002310},
  doi = {10.1109/TIM.2023.3243677}
}",\cite{Guo2023},Abishek Soti
Noise power spectral density scaled SNR response estimation withrestricted range search for sound source localisation using unmannedaerial vehicles,8 microphones(page11),8,"GCC-PHAT, SRP-PHAT, MVDR, DS, DNM, and the proposed method using noise power spectral density (PSD) scaled SNR response",Filtering,44.1 kHz,44.1,Spectral filtering,Denoising autoencoder (DAE) and noise PSD-based scaling,"A person shouting, White noise or similar","Human speech, White noise",Single,not mentioned (used DREGON dataset),Not reported,Below,Other,Cubic. Dregon,,,Azimuth and Elevation,,"none, the dataset they used was from DREGON.",n/a,Simulation,Simulation,Simulation,Simulation,Comprehensive evaluation across multiple tasks and scenarios.,uses DREGON data set; does not do any actual data collection and SNR adjustment in real life.,DREGON.,Only applies an SNR mitigation method to a DREGON dataset.,"@article{Yen2020,
  author = {B. Yen and Y. Hioka},
  title = {Noise power spectral density scaled SNR response estimation with restricted peak search for UAV-based sound source localization},
  journal = {EURASIP Journal on Audio, Speech, and Music Processing},
  year = {2020},
  volume = {2020},
  pages = {13},
  doi = {10.1186/s13636-020-00173-5}
}",\cite{Yen2020},Abishek Soti
Belief-Driven Control Policy of a Drone with Microphones for Multiple Sound Source Search,16(page2),16,MUSIC(page2),no,not informed,,Distancing of the microphones from the drone rotors,n/a,Other (chirp signal),Chirp Signal,Multiple,about 20m,Not reported,On one side,3D Sphere,3D Sphere,,,,,Not specified,Hex-Rotor Helicopter,small (inferred),multirotor,Locally,Real-time on a remote server,Important: We could also do multiple estimations every 5-10 seconds to better calculated where the sound source is located if the sound source has constant sound output.,It is based off of their past works and does not provide new insight besides an approach that they tried with their already existing dataset.,Not mentioned,The previous papers realting to this experiment alongside this provide a good full picture of the researchers process. We could also breakdown our research topic into multiple papers similarily.,"@article{yamada2023belief,
  title={Belief-Driven Control Policy of a Drone with Microphones for Multiple Sound Source Search},
  author={Yamada, Kenshiro and Kumon, Makoto and Furukawa, Tomonari},
  journal={IEEE Transactions on Robotics},
  year={2023},
  pages={1--7},
  volume={XX},
  number={YY},
  doi={10.1109/TRO.2023.XXXXXX}
}",\cite{yamada2023belief},Abishek Soti
Feasibility of Discriminating UAV Propellers Noise from Distress Signals to Locate People in Enclosed Environments Using MEMS Microphone Arrays,64 mems microphones(page 5),64,Wideband beamforming algorithms(page5),no,50kHz(page5),50,"Distancing of the microphones from the drone rotors, Spectral filtering",Mechanical and acoustic isolation of the MEMS array from the drone structure(page13),"A person shouting, Other drones","Human speech, Drones",Single,45 cm to 160cm(page7),-15 dB to 15 dB(Page 13),One one side,2D Rectangle,2D Rectangle,,,,,n/a,Autel X-Star(Page4),very small,multirotor,On a remote server,Real-time on a remote server,n/a,Microphone array was to big to integrate into the drones.,Not mentioned,n/a,"@article{izquierdo2020feasibility,
  title={Feasibility of Discriminating UAV Propellers Noise from Distress Signals to Locate People in Enclosed Environments Using MEMS Microphone Arrays},
  author={Izquierdo, Alberto and del Val, Lara and Villacorta, Juan J. and Zhen, Weikun and Scherer, Sebastian and Fang, Zheng},
  journal={Sensors},
  volume={20},
  number={597},
  year={2020},
  pages={1--16},
  publisher={MDPI},
  doi={10.3390/s20020597}
}",\cite{izquierdo2020feasibility},Abishek soti
On the application of SEGAN for the attenuation of the ego-noise in the speech sound source localization problem,"8 microphone array embedded in the UAV( Page 1,2)",8,"Sembalance based TDOA algorithm, LogMMSE(page3,2)",Filtering,"16kHz, from 44.1kHz",16,Spectral filtering,"SEGAN, LogMMSE",A person shouting,Human speech,Single,not mentioned,24dB to -21dB(Page 3),Below,Other,Cubic. Dregon,,,Azimuth and elevation,,n/a.,n/a,Dregon dataset,Dregon dataset,Simulation,Simulation,Focuses on a possible filtering technique we could use.,"Lack of specifics, no mention of DOA.",n/a,"Not concerned with DOA, only focuses on using a combination of SEGAN and logMMSE","@inproceedings{spadini2019application,
  title={On the application of SEGAN for the attenuation of the ego-noise in the speech sound source localization problem},
  author={Spadini, Tito and Aldeia, Guilherme Seidyo Imai and Barreto, Guilherme and Alves, Kaleb and Ferreira, Henrique and Suyama, Ricardo and Nose-Filho, Kenji},
  booktitle={4th Workshop on Communication Networks and Power Systems (WCNPS 2019)},
  year={2019},
  organization={Universidade Federal do ABC}
}",\cite{spadini2019application},Abishek Soti
Development of Microphone-Array-Embedded UAV for Search and Rescue Task,12 microphones(page3),12,"SEVD-MUSIC, iGSVC-MUSIC",no,not specified,,Distancing of the microphones from the drone rotors,Online Robust Principal Component Analysis (ORPCA)(Page1),"A person shouting, Whistle","Human speech, Whistle",Single,not mentioned,20dB to -20dB(Page5),On one side,3D Sphere,3D Sphere,,,,,Not mentioned,Autonomous Control Systems Laboratory Ltd. (ACSL) Mini Surveyor (MS-06LA) (Page2),small,multirotor,On a remote server,Real-time on a remote server,"Noise mitigation by distancing the microphone array and insulating them with materials to protect against nosie.
Their orientation lets them have drone noise only come from one direction instead of being omnidirectional.
Their research on latency is unique.",They do not report hover height,n/a,"There are some papers that distance the microphone array this way, we could also try the configuration for our setup.","@inproceedings{Nakadai2023,
  author = {Kazuhiro Nakadai and Makoto Kumon and Hiroshi G. Okuno and Kotaro Hoshiba and Mizuho Wakabayashi and Kai Washizaki and Takahiro Ishiki and Daniel Gabriel and Yoshiaki Bando and Takayuki Morito and Ryosuke Kojima and Osamu Sugiyama},
  title = {Development of Microphone-Array-Embedded UAV for Search and Rescue Task},
  booktitle = {Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  year = {2023},
  pages = {1--6},
  publisher = {IEEE}
}",\cite{Nakadai2023},Abishek Soti
SPHERICAL HARMONIC DIAGONAL UNLOADING BEAMFORMING WITH EGO-NOISE REDUCTION FOR DOA ESTIMATION FROM AUTONOMOUS SYSTEMS,19 microphones(Page4),19,"1) SH-DU-FSPT: spherical harmonic (SH) domain using a frequency smoothing power transform (FSPT) Diagonal Unloading(DU) (page4)
2) Proposed EGO noise reduction",no,48kHz(page4),48,"Distancing of the microphones from the drone rotors, Other, Spectral filtering",Ego-noise covariance matrix estimation and diagonal unloading procedure,Other drones,Drones,Single,Not given,-25 to 0 dB,Below,3D Sphere,3D Sphere,,,,,Not specified,Unspecified quadcopter drone,Unspecified,Unspecified,Simulation,Offline,- The approach is claimed to be more computationally efficient that MUSIC,- Approach requires collection of ego-noise data without the signal for 30s,No information provided,- Microphones a placed 30cm below the drone,"@article{Salvati2021,
  author = {D. Salvati and C. Drioli and G. L. Foresti},
  title = {Spherical Harmonic Diagonal Unloading Beamforming with Ego-Noise Reduction for DOA Estimation from Autonomous Systems},
  journal = {IEEE Transactions on Audio, Speech, and Language Processing},
  year = {2021},
  volume = {29},
  pages = {1-5},
  doi = {10.1109/TASLP.2021.1234567}
}",\cite{Salvati2021},Sergio
A bio-mimetic miniature drone for real-time audio based short-range tracking,2 ultrasonic microphones.,2,Time Difference of Arrival (TDoA) with Cross-Correlation,no,144 KHz,144,Spectral filtering,Only high pass filter to separate ultrasonic frequencies,"Animal sounds, Other",Animal sounds,Single,0.4 to 0.8 m,Not specified,On one side,2D Linear,2D Linear,,,,,Not specified,Crazyflie 2.0,micro,multirotor,Locally,Real-time locally,"- The approach could be generalized to 3D by adding pinnae-like structures on-top of the microphones.
- Pinnae provide elevation-specific filtering which complete the time of arrival differences and provide 3D information. Real bats such pinnae could be small and light-weight and could thus be carried even by our miniature drone.","- To simplify the analysis and due to the lack of a pinna-like model, they restricted the tracking to two dimensions. (azimuth angle)",Necessary data and code are available on GitHub: https://github.com/roeizig/thesis-project,"- This paper is for sound source localization but works on idenifying ultrasonic sounds sources, like bats.","@article{zigelman2022bio,
  title={A bio-mimetic miniature drone for real-time audio based short-range tracking},
  author={Zigelman, Roei and Eitan, Ofri and Mazar, Omer and Weiss, Anthony and Yovel, Yossi},
  journal={PLoS Computational Biology},
  volume={18},
  number={3},
  pages={e1009936},
  year={2022},
  publisher={Public Library of Science San Francisco, CA USA}
}",\cite{zigelman2022bio},Jahir Rodríguez
Aerial Drones with Location-Sensitive Ears,2,2,"fixed beamforming (delay and sum)
adaptive beamforming (MaxNSR)
iGEVD-MUSIC
DroneEARS (Proposed)",no,Not specified,,Other,Not specified,A person shouting,Human speech,Single,1 m,25 to -25 dB,Around,2D Linear,2D Linear,,,,,1.5 mts,AR.Drone 2.0 quadcopter,micro,multirotor,On a remote server,Offline,,"- They design the theoretical framework of DroneEARS and validate its working through empirical studies. They are currently working toward integrating it with the drone platform. (it seems the study only a simulation, the distance between source and mics is really short)",Not mentioned,"- Its almost the same paper reviewed DroneEARs, same comments, and limitations.","@article{misra2018aerial,
  title={Aerial drones with location-sensitive ears},
  author={Misra, Prasant and Kumar, A Anil and Mohapatra, Pragyan and Balamuralidhar, P},
  journal={IEEE Communications Magazine},
  volume={56},
  number={7},
  pages={154--160},
  year={2018},
  publisher={IEEE}
}",\cite{misra2018aerial},Jahir Rodríguez
CNN-Based Processing of Acoustic and Radio Frequency Signals for Speaker Localization from MAVs,4,4,three stage CNN with two stages for processing the RF and one stage for the speech data seperately(Page 4),Localization,n/a(Hz is not even mentioned in the whole paper),,Other,The document focuses on enhancing localization through RF and speech signal fusion.,"A person shouting, Other drones","Human speech, Drones",Single,"2,3, and 4 meters(Page3)",Not specified,Above,2D Linear,2D Linear,,,,,n/a,Parrot Bebop 1,very small,multirotor,On a remote server,Real-time on a remote server,Enhanced sound localisation via the combination of RF and acoustic data. The signal is processed in real time and DOA and direction of source was predicted on the spot.,Experiments were not conducted in fully simulated enviroments.,Not mentioned,n/a,"@article{toma2023cnn,
  title={CNN-Based Processing of Acoustic and Radio Frequency Signals for Speaker Localization from MAVs},
  author={Toma, Andrea and Salvati, Daniele and Drioli, Carlo and Foresti, Gian Luca},
  journal={Department of Mathematics, Computer Science and Physics, University of Udine},
  year={2023},
  pages={1--5},
  publisher={University of Udine}
}",\cite{toma2023cnn},Abishek Soti
Effective direction of arrival estimation of gunshot signals from an in-flight unmanned aerial vehicle,4,4,GCC-PHAT,No,not specified,,Distancing of the microphones from the drone rotors,,Gunshots,Gunshots,Single,"25, 50, and 100 meters  (inferred)",-10 (simulation),Around,2D Rectangle,2D Rectangle,,,,,"25, 50, and 100 meters ",DJI Phantom 4,very small,multirotor,Simulation,Offline,Hovering of up to 100m,,Not mentioned,,"@inproceedings{ribeiro2018effective,
  title={Effective direction of arrival estimation of gunshot signals from an in-flight unmanned aerial vehicle},
  author={Ribeiro, Juliano GC and Serrenho, Felipe G and Apolin{\'a}rio Jr, Jos{\'e} A and Ramos, Ant{\'o}nio LL},
  booktitle={Automatic Target Recognition XXVIII},
  volume={10648},
  pages={89--99},
  year={2018},
  organization={SPIE}
}
",\cite{ribeiro2018effective},Sergio
Chapter 15 - A novel sound source localization method using a global-best guided cuckoo search algorithm for drone-based search and rescue operations,8,8,GCC-PHAT,no,44.1 Khz (pag 3),44.1,Spectral filtering," GCS (Global-Best Guided Cuckoo Search) for ego-noise suppression, Wiener filter",A person shouting,Human speech,Single,DREGON dataset,DREGON dataset,Below,Other,Cubic. Dregon,,,Azimuth and Elevation,,DREGON dataset,DREGON dataset,DREGON dataset,DREGON dataset,Simulation,Simulation,They write out the steps involved in the resaerch process. This is a good paper to read as an introduction to the topic.,The paper does not actually conduct any experiments.,Not mentioned,A large literature review section,"@incollection{Banerjee2023,
  title={A novel sound source localization method using a global-best guided cuckoo search algorithm for drone-based search and rescue operations},
  author={Annesya Banerjee and Achal Nilhani and Supriya Dhabal and Palaniandavar Venkateswaran},
  booktitle={Unmanned Aerial Systems},
  pages={375--415},
  year={2023},
  publisher={Elsevier},
  address={Amsterdam, Netherlands},
  chapter={15},
  doi={10.1016/B978-0-12-820276-0.00022-4}
}",\cite{Banerjee2023},Abishek Soti
Sound Source Tracking by Drones with Microphone Arrays,16 channel spherical microhpone array(Page 1),16,"MUSIC, SEVD-MUSIC",no,44.1kHz(page5),44.1,"Distancing of the microphones from the drone rotors, Spectral filtering","Ignoring peaks from drone propellers, Gaussian sum filtering",White noise or similar,White noise,Single, 5 meters (inferred),-24.6dB(Page5),"On multiple sides (more that one array), On one side",3D Sphere,3D Sphere,,,,,n/a,Simulation,Simulation,Simulation,Simulation,Simulation,This setup was shown to work under low SNR.,"There are many undefined parameters, most of the work is conducted theoritically and in simulation.",Not mentioned,n/a,"@inproceedings{Yamada2020,
  author = {Taiki Yamada and Katsutoshi Itoyama and Kenji Nishida and Kazuhiro Nakadai},
  title = {Sound Source Tracking by Drones with Microphone Arrays},
  booktitle = {Proceedings of the 2020 IEEE/SICE International Symposium on System Integration},
  year = {2020},
  pages = {796--801},
  publisher = {IEEE},
  address = {Honolulu, Hawaii, USA},
  doi = {10.1109/SII48929.2020.9030660}
}",\cite{Yamada2020},Abishek
Outdoor sound source detection using a quadcopter with microphone array,16 MEMS microphones(page4),16,"SEVD-MUSIC, iGEVD-MUSIC, iGEVD-MUSIC-CMS, iGSVD-MUSIC, and iGSVD-MUSIC-CMS(page5)",no,16kHz,16,Wind-damping mufflers,CMS to reduce ego-noise by whitening the noise correlation matrix,A person shouting,Human speech,Single,1-3 meters,-13dB(Page8),Around,2D Radial,2D Radial,,,,,"0,1,2.7, and 4 meters(Page5)",AscTech Pelican,very small,multirotor,On a remote server,Offline,"analysis using multiple models, Real-time processing, practical application can be seen by their experiment conducted at different settings.",A singular value of SNR was used. Further research could be done using a range of SNR values. The distance that the experiment was conducted in was very short.,Not mentioned,n/a,"@article{Ohata2017,
  author = {Takuma Ohata and others},
  title = {Outdoor Sound Source Detection Using a Quadcopter with Microphone Array},
  journal = {Journal of Robotics and Mechatronics},
  volume = {29},
  number = {1},
  pages = {177--184},
  year = {2017},
  publisher = {The Robotics Society of Japan},
  doi = {10.20965/jrm.2017.p0177}
}",\cite{Ohata2017},Abishek
Acoustic UAV Detection using Spherical Array Beamforming,19 MEMS micrphones(Page2). Zylia ambisonics,19,MUSIC(Page1),no,Not specified,,Spectral filtering,They incorporate a reference rotor noise  signal into the array to asses its effect on the DOA.,Other drones,Drones,Both,30m,-13dB,The array is placed on a 5.4m pole. Drone noise added after recording,Other,3D Sphere,,,,,5.5 to 23m ,DJI S1000 and DJI Inspire(Page3),small,multirotor,Simulation,Simulation,Develops the detection of Drones themselves based on the noise they produce. They conduct real world testing and analyse their results.,"It is easy to work with noise. However, the paper does not focus on SSL while using a drone",Not mentioned,n/a,"@article{Satish2023,
  author = {Aprameya Satish and Alessio Medda},
  title = {Acoustic UAV Detection using Spherical Array Beamforming},
  journal = {Georgia Tech Research Institute},
  year = {2023},
  note = {Available at: [https://ieeexplore-ieee-org.ezproxy.uws.edu.au/document/10051923},
  doi = {10.1117/12.2194309}
}",\cite{Satish2023},Abishek Soti
Drone Audition: Sound Source Localization Using On-Board Microphones,15 MEMS(Page3),15,"Cross-correlation based DOA estimation (proposed), MUSIC, GEVD-MUSIC, GCC-PHAT",no,48kHz(Page6),48,Other, pre-recorded noise-only recordings,A person shouting,Human speech,Both,0.6 meters(page5),-30 dB to 0 dB,On multiple sides (more that one array),Other,"Other, irregular",,,Azimuth and Elevation,2,Around 1 meter (fixed not hovering),Not specified,micro (inferred),multirotor,Simulation,Simulation,"Low SNR scenario, analysis of different algorithms","Drone is not hovering, but fixed at one point. Approach requires prior noise data",Not mentioned,n/a,"@article{manamperi2022drone,
  title={Drone audition: Sound source localization using on-board microphones},
  author={Manamperi, Wageesha and Abhayapala, Thushara D and Zhang, Jihui and Samarasinghe, Prasanga N},
  journal={IEEE/ACM Transactions on Audio, Speech, and Language Processing},
  volume={30},
  pages={508--519},
  year={2022},
  publisher={IEEE}
}",\cite{manamperi2022drone},Abishek
